Sale ID,Date,Customer ID,Product,Unit Price,Tax,Total,Reference,Payment Status,Shipping
SALE-00001,2026-03-25,CUST-018,"Band Saw 14""",2462.08,184.66,2646.74,REF-407757,Partial,0.0
SALE-00002,2025-01-24,CUST-047,"Ceiling Fan 52""",25477.5,1910.81,27388.31,REF-287330,Paid,49.99
SALE-00003,2026-02-27,CUST-041,"Stepping Stones 12""",2131.03,159.83,2290.86,REF-492077,Paid,14.99
SALE-00004,2025-01-20,CUST-021,Sand Play 50lb,1327.99,99.6,1427.59,REF-972064,Paid,0.0
SALE-00005,2024-04-19,CUST-006,"Circular Saw Blade 10""",5640.5,423.04,6063.54,REF-172574,Paid,0.0
SALE-00006,2026-02-18,CUST-011,"Ceiling Fan 52""",7319.01,548.93,7867.94,REF-543692,Paid,14.99
SALE-00007,2026-03-07,CUST-046,Deck Boards Composite,7156.55,536.74,7693.29,REF-781446,Unpaid,9.99
SALE-00008,2025-08-04,CUST-016,Outlet Box Double Gang,2027.23,152.04,2179.27,REF-716886,Paid,14.99
SALE-00009,2024-01-03,CUST-046,Back Support Belt,1344.02,100.8,1444.82,REF-132938,Unpaid,0.0
SALE-00010,2025-04-09,CUST-043,Sand Play 50lb,1355.16,101.64,1456.8,REF-858490,Shipped,0.0
SALE-00011,2025-07-07,CUST-007,Work Gloves Heavy Duty,73.32,5.5,78.82,REF-544154,Partial,9.99
SALE-00012,2026-01-22,CUST-042,Stud Finder Digital,2810.32,210.77,3021.09,REF-863587,Unpaid,49.99
SALE-00013,2024-04-07,CUST-013,Smart Lock Deadbolt,1577.32,118.3,1695.62,REF-292401,Paid,9.99
SALE-00014,2024-02-15,CUST-036,Work Gloves Heavy Duty,206.79,15.51,222.3,REF-976638,Paid,0.0
SALE-00015,2024-03-14,CUST-032,Retaining Wall Block,3112.58,233.44,3346.02,REF-161483,Paid,9.99
SALE-00016,2024-07-09,CUST-030,Tile Adhesive Thinset,10292.8,771.96,11064.76,REF-921414,Shipped,0.0
SALE-00017,2024-05-07,CUST-004,Ear Plugs 200 pair,1679.33,125.95,1805.28,REF-884309,Unpaid,0.0
SALE-00018,2024-10-16,CUST-033,Doorbell Camera,249.3,18.7,268.0,REF-184002,Paid,0.0
SALE-00019,2025-02-22,CUST-016,Wheelbarrow 6 cu ft,1525.23,114.39,1639.62,REF-358175,Paid,14.99
SALE-00020,2024-07-22,CUST-038,Hard Hat White,2196.64,164.75,2361.39,REF-314181,Unpaid,0.0
SALE-00021,2025-07-05,CUST-043,Stud Finder Digital,1434.67,107.6,1542.27,REF-888387,Paid,0.0
SALE-00022,2025-10-19,CUST-007,Paint Roller Set Pro,241.8,18.14,259.94,REF-378082,Paid,0.0
SALE-00023,2024-04-12,CUST-019,Socket Set 40pc,6009.72,450.73,6460.45,REF-837715,Paid,14.99
SALE-00024,2026-03-01,CUST-043,Fire Extinguisher 5lb,2607.5,195.56,2803.06,REF-208618,Paid,0.0
SALE-00025,2024-02-24,CUST-036,Extension Cord 50ft,65.07,4.88,69.95,REF-320861,Unpaid,0.0
SALE-00026,2026-03-28,CUST-017,"Stepping Stones 12""",21056.4,1579.23,22635.63,REF-153266,Paid,24.99
SALE-00027,2025-05-02,CUST-001,Rebar #4 20ft,2949.7,221.23,3170.93,REF-374680,Paid,24.99
SALE-00028,2025-09-23,CUST-028,First Aid Kit 100pc,2242.01,168.15,2410.16,REF-824586,Paid,14.99
SALE-00029,2024-06-19,CUST-036,Caulk Silicone White,2010.49,150.79,2161.28,REF-423232,Unpaid,49.99
SALE-00030,2024-06-07,CUST-044,Teflon Tape Roll,1856.42,139.23,1995.65,REF-918011,Partial,14.99
SALE-00031,2026-01-08,CUST-011,Drywall Sheets 4x8,887.16,66.54,953.7,REF-288073,Unpaid,49.99
SALE-00032,2025-11-28,CUST-048,Teflon Tape Roll,17833.6,1337.52,19171.12,REF-835343,Paid,9.99
SALE-00033,2024-08-08,CUST-013,Weed Barrier Fabric,4073.0,305.47,4378.47,REF-933980,Paid,0.0
SALE-00034,2024-11-07,CUST-026,Rebar #4 20ft,561.65,42.12,603.77,REF-910891,Paid,0.0
SALE-00035,2026-03-13,CUST-044,Smart Lock Deadbolt,779.34,58.45,837.79,REF-220944,Paid,0.0
SALE-00036,2025-05-02,CUST-007,Face Shield Clear,11359.55,851.97,12211.52,REF-924629,Unpaid,9.99
SALE-00037,2025-09-04,CUST-025,Safety Vest Hi-Vis,766.29,57.47,823.76,REF-843215,Partial,0.0
SALE-00038,2025-09-22,CUST-047,"Orbital Sander 5""",168.33,12.62,180.95,REF-481913,Partial,0.0
SALE-00039,2026-02-20,CUST-021,Oscillating Multi-Tool,5184.8,388.86,5573.66,REF-414910,Paid,24.99
SALE-00040,2025-06-13,CUST-045,Grout Sanded Gray,1557.01,116.78,1673.79,REF-540869,Partial,24.99
SALE-00041,2026-01-20,CUST-037,Tile Cutter Manual,21348.5,1601.14,22949.64,REF-100425,Paid,0.0
SALE-00042,2024-07-26,CUST-038,Steel Toe Boots,2336.34,175.23,2511.57,REF-563246,Shipped,24.99
SALE-00043,2024-09-16,CUST-048,Reciprocating Saw,1774.9,133.12,1908.02,REF-640490,Unpaid,0.0
SALE-00044,2024-11-10,CUST-015,Flashing Tape Roll,815.65,61.17,876.82,REF-356736,Shipped,14.99
SALE-00045,2024-08-14,CUST-041,Safety Vest Hi-Vis,3833.2,287.49,4120.69,REF-502630,Shipped,9.99
SALE-00046,2024-03-21,CUST-045,Industrial Drill Press,16635.7,1247.68,17883.38,REF-907451,Paid,49.99
SALE-00047,2025-04-06,CUST-045,Motion Sensor Light,1725.57,129.42,1854.99,REF-361303,Paid,9.99
SALE-00048,2024-08-22,CUST-034,First Aid Kit 100pc,23801.1,1785.08,25586.18,REF-564071,Partial,49.99
SALE-00049,2025-08-06,CUST-048,Paver Blocks 4x8,24615.1,1846.13,26461.23,REF-359249,Paid,49.99
SALE-00050,2025-08-21,CUST-016,Electrical Panel 200A,6872.35,515.43,7387.78,REF-399607,Paid,0.0
SALE-00051,2025-06-18,CUST-006,"Wood Screws #8 x 2""",2848.2,213.61,3061.81,REF-827659,Paid,24.99
SALE-00052,2024-02-14,CUST-027,Rebar #4 20ft,1153.64,86.52,1240.16,REF-165290,Paid,49.99
SALE-00053,2025-07-25,CUST-038,Staple Gun Electric,1175.7,88.18,1263.88,REF-703655,Partial,9.99
SALE-00054,2024-06-10,CUST-049,"Painters Tape 2""",9482.5,711.19,10193.69,REF-539375,Paid,9.99
SALE-00055,2024-05-14,CUST-032,"Copper Pipe 3/4"" x 10ft",2782.15,208.66,2990.81,REF-812131,Partial,24.99
SALE-00056,2024-08-05,CUST-040,Smart Lock Deadbolt,1510.46,113.28,1623.74,REF-720644,Paid,0.0
SALE-00057,2026-02-05,CUST-030,Joint Compound 5gal,752.1,56.41,808.51,REF-443254,Paid,9.99
SALE-00058,2025-06-25,CUST-025,Electrical Panel 200A,14176.3,1063.22,15239.52,REF-542042,Paid,49.99
SALE-00059,2024-08-01,CUST-048,Smoke Detector Combo,643.56,48.27,691.83,REF-335113,Paid,49.99
SALE-00060,2026-01-25,CUST-002,Teflon Tape Roll,1771.05,132.83,1903.88,REF-751517,Paid,0.0
SALE-00061,2024-08-22,CUST-008,Hard Hat White,4579.56,343.47,4923.03,REF-833442,Paid,49.99
SALE-00062,2025-03-20,CUST-039,Belt Sander 3x21,9786.6,734.0,10520.6,REF-959099,Paid,0.0
SALE-00063,2024-10-01,CUST-020,Safety Vest Hi-Vis,1609.64,120.72,1730.36,REF-515922,Paid,0.0
SALE-00064,2025-12-27,CUST-041,Teflon Tape Roll,17532.5,1314.94,18847.44,REF-416232,Paid,49.99
SALE-00065,2025-01-12,CUST-035,Hose Garden 100ft,1648.39,123.63,1772.02,REF-630538,Unpaid,0.0
SALE-00066,2025-08-04,CUST-028,Primer Interior 1gal,2613.9,196.04,2809.94,REF-582071,Paid,9.99
SALE-00067,2024-12-17,CUST-042,Light Switch Dimmer,2883.18,216.24,3099.42,REF-912270,Shipped,9.99
SALE-00068,2025-12-19,CUST-018,Concrete Sealer 5gal,1245.1,93.38,1338.48,REF-190872,Paid,9.99
SALE-00069,2024-08-19,CUST-040,Router Table Combo,546.29,40.97,587.26,REF-618317,Unpaid,0.0
SALE-00070,2025-04-12,CUST-017,Wire Mesh 4x8 Sheet,2135.07,160.13,2295.2,REF-835244,Paid,14.99
SALE-00071,2024-09-07,CUST-006,"Pipe Wrench 18""",4126.8,309.51,4436.31,REF-682144,Paid,24.99
SALE-00072,2025-11-23,CUST-032,Fertilizer 10-10-10,1877.87,140.84,2018.71,REF-408528,Paid,9.99
SALE-00073,2026-01-10,CUST-043,Ear Plugs 200 pair,4857.48,364.31,5221.79,REF-656711,Unpaid,9.99
SALE-00074,2026-03-11,CUST-023,Staple Gun Electric,122.93,9.22,132.15,REF-363615,Paid,0.0
SALE-00075,2026-01-11,CUST-008,Belt Sander 3x21,9611.8,720.88,10332.68,REF-823688,Paid,0.0
SALE-00076,2024-12-16,CUST-018,Hand Plane Block,19991.9,1499.39,21491.29,REF-650121,Paid,0.0
SALE-00077,2024-05-08,CUST-024,Drywall Sheets 4x8,4188.35,314.13,4502.48,REF-660081,Paid,0.0
SALE-00078,2024-01-18,CUST-019,Staple Gun Electric,644.9,48.37,693.27,REF-889359,Shipped,0.0
SALE-00079,2024-10-10,CUST-031,Retaining Wall Block,1592.61,119.45,1712.06,REF-153872,Paid,49.99
SALE-00080,2025-02-27,CUST-005,Wheelbarrow 6 cu ft,1584.18,118.81,1702.99,REF-760021,Paid,0.0
SALE-00081,2024-10-10,CUST-006,Teflon Tape Roll,17562.7,1317.2,18879.9,REF-536390,Paid,49.99
SALE-00082,2025-07-15,CUST-029,Tile Cutter Manual,4465.42,334.91,4800.33,REF-420214,Paid,14.99
SALE-00083,2026-01-25,CUST-014,Back Support Belt,6827.05,512.03,7339.08,REF-185131,Paid,0.0
SALE-00084,2024-09-03,CUST-011,Industrial Drill Press,7930.4,594.78,8525.18,REF-722656,Shipped,0.0
SALE-00085,2024-04-10,CUST-046,Tile Adhesive Thinset,4233.28,317.5,4550.78,REF-174637,Paid,0.0
SALE-00086,2026-03-22,CUST-013,Hose Garden 100ft,1559.7,116.98,1676.68,REF-779094,Paid,0.0
SALE-00087,2024-02-02,CUST-011,"Planer Thickness 13""",8843.85,663.29,9507.14,REF-964278,Paid,9.99
SALE-00088,2024-08-23,CUST-020,Staple Gun Electric,122.3,9.17,131.47,REF-624783,Shipped,9.99
SALE-00089,2024-10-02,CUST-028,"Orbital Sander 5""",161.51,12.11,173.62,REF-127121,Paid,0.0
SALE-00090,2026-03-19,CUST-002,"Miter Saw 12"" Sliding",1348.44,101.13,1449.57,REF-704238,Paid,49.99
SALE-00091,2024-08-17,CUST-042,Mulch Hardwood 2cuft,450.82,33.81,484.63,REF-713762,Partial,24.99
SALE-00092,2025-02-16,CUST-023,Shovel Round Point,3303.15,247.74,3550.89,REF-209680,Paid,0.0
SALE-00093,2025-12-16,CUST-019,Oscillating Multi-Tool,10467.0,785.02,11252.02,REF-897441,Paid,9.99
SALE-00094,2024-06-09,CUST-021,"Level 48"" Aluminum",3406.58,255.49,3662.07,REF-639593,Paid,24.99
SALE-00095,2025-08-14,CUST-004,"Roofing Nails 1.5""",7193.07,539.48,7732.55,REF-893188,Shipped,24.99
SALE-00096,2025-01-07,CUST-018,Fire Extinguisher 5lb,512.54,38.44,550.98,REF-559398,Shipped,0.0
SALE-00097,2024-11-20,CUST-016,"Clamps Bar 24"" 4pk",809.7,60.73,870.43,REF-114338,Partial,0.0
SALE-00098,2024-02-15,CUST-008,Stud Finder Digital,3025.14,226.89,3252.03,REF-851413,Paid,14.99
SALE-00099,2026-02-14,CUST-031,Paver Blocks 4x8,7231.38,542.35,7773.73,REF-251668,Partial,0.0
SALE-00100,2025-09-24,CUST-009,Electrical Wire 12AWG 250ft,10345.8,775.93,11121.73,REF-995916,Partial,0.0
